2010-03-17 00:27:43 Info: Se imprimió una factura A correctamente
2010-03-17 00:27:43 Info: se imprimio una factura A para la mesa 33, mozo 4
2010-03-17 23:56:49 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 432]
2010-03-17 23:56:49 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 433]
2010-03-17 23:56:49 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 434]
2010-03-17 23:56:49 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 440]
2010-03-17 23:56:49 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 447]
2010-03-17 23:56:49 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 455]
2010-03-17 23:56:49 Notice: Notice (8): Undefined variable: event in [CORE/cake/libs/view/helpers/javascript.php, line 455]
2010-03-17 23:57:02 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 432]
2010-03-17 23:57:02 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 433]
2010-03-17 23:57:02 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 434]
2010-03-17 23:57:02 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 440]
2010-03-17 23:57:02 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 447]
2010-03-17 23:57:02 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 455]
2010-03-17 23:57:02 Notice: Notice (8): Undefined variable: event in [CORE/cake/libs/view/helpers/javascript.php, line 455]
2010-03-17 23:57:48 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 432]
2010-03-17 23:57:48 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 433]
2010-03-17 23:57:48 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 434]
2010-03-17 23:57:48 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 440]
2010-03-17 23:57:48 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 447]
2010-03-17 23:57:48 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 455]
2010-03-17 23:57:48 Notice: Notice (8): Undefined variable: event in [CORE/cake/libs/view/helpers/javascript.php, line 455]
2010-03-17 23:58:33 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 432]
2010-03-17 23:58:33 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 433]
2010-03-17 23:58:33 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 434]
2010-03-17 23:58:33 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 440]
2010-03-17 23:58:33 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 447]
2010-03-17 23:58:33 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 455]
2010-03-17 23:58:33 Notice: Notice (8): Undefined variable: event in [CORE/cake/libs/view/helpers/javascript.php, line 455]
2010-03-18 00:27:15 Notice: Notice (8): Undefined index:  controller in [CORE/cake/dispatcher.php, line 408]
2010-03-18 00:27:15 Notice: Notice (8): Undefined index:  controller in [CORE/cake/dispatcher.php, line 132]
